,1,2,3,4,5,6,7,8,9,10,11,12
0,5.0,5.0,4.5,4.5,5.0,3.0,4.5,4.5,2.2,2.4,4.6,2.0
1,5.0,5.0,5.0,4.5,3.0,3.0,4.25,4.5,2.2,2.8,5.0,2.0
2,4.5,4.5,4.0,4.0,4.0,3.0,4.0,4.0,1.45,0.7,2.15,2.0
3,5.0,4.0,4.0,4.0,4.5,3.0,4.08,4.0,4.0,0.6,4.6,2.0
4,5.0,4.5,4.0,4.5,5.0,4.0,4.5,4.5,2.8,2.4,5.2,2.0
5,5.0,5.0,4.0,5.0,4.0,3.0,4.33,4.5,5.8,2.3,8.1,2.0
6,5.0,4.0,5.0,4.5,3.0,3.0,4.08,4.0,4.2,0.5,4.7,2.0
7,5.0,4.5,4.0,4.5,5.0,3.0,4.33,4.5,3.35,3.7,7.05,2.0
8,5.0,4.5,4.5,4.0,4.0,4.0,4.33,4.5,3.3,3.9,7.2,2.0
9,4.0,4.0,4.0,4.0,3.5,3.0,3.75,4.0,4.0,1.5,5.5,2.0
10,5.0,4.5,5.0,4.0,4.0,3.0,4.25,4.5,3.1,4.0,7.1,2.0
11,5.0,5.0,5.0,4.5,4.0,3.0,4.42,4.5,5.2,5.9,11.1,3.5
12,5.0,4.5,5.0,4.0,4.0,5.0,4.58,4.5,2.2,3.6,5.8,2.0
13,5.0,4.5,4.5,4.0,4.0,5.0,4.5,4.5,3.1,4.6,7.7,2.0
14,5.0,4.5,4.0,4.0,4.5,3.0,4.17,4.0,1.3,3.4,4.7,2.0
15,5.0,4.0,4.5,4.5,5.0,4.0,4.5,4.5,2.4,2.7,5.1,2.0
16,5.0,5.0,4.5,4.5,4.5,3.0,4.42,4.5,3.2,2.7,5.9,2.0
17,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.1,6.8,11.9,3.5
18,5.0,5.0,5.0,5.0,4.5,3.0,4.75,5.0,4.2,7.8,12.0,4.0
19,5.0,4.5,5.0,4.5,5.0,3.0,4.5,4.5,3.6,4.6,8.2,2.0
20,5.0,5.0,4.0,5.0,4.0,3.0,4.33,4.5,2.7,4.5,7.2,2.0
21,4.0,4.0,3.0,4.0,4.0,3.0,3.67,3.5,3.2,2.2,5.4,2.0
22,5.0,4.5,5.0,4.5,4.0,3.0,4.33,4.5,4.0,3.2,7.2,2.0
23,5.0,4.5,4.5,5.0,5.0,3.0,4.5,4.5,3.3,3.5,6.8,2.0
24,5.0,4.5,4.5,4.5,5.0,3.0,4.42,4.5,4.1,6.2,10.3,3.5
25,5.0,5.0,4.5,4.0,5.0,3.0,4.42,4.5,2.7,0.0,2.7,2.0
26,5.0,4.0,4.5,4.5,5.0,4.0,4.5,4.5,2.3,5.6,7.9,2.0
27,5.0,5.0,5.0,4.5,4.0,3.0,4.42,4.5,2.7,3.2,5.9,2.0
28,5.0,5.0,4.5,4.0,5.0,3.0,4.42,4.5,3.6,4.0,7.6,2.0
29,5.0,4.5,4.0,4.5,3.5,3.0,4.08,4.0,6.0,5.4,11.4,3.5
30,4.5,4.5,4.0,4.0,4.0,3.0,4.0,4.0,3.2,5.6,8.8,2.0
31,5.0,5.0,4.0,4.0,4.0,4.0,4.33,4.5,2.7,3.1,5.8,2.0
32,5.0,4.5,4.0,4.5,3.5,3.0,4.08,4.0,3.15,2.8,5.95,2.0
33,5.0,5.0,5.0,4.5,5.0,4.0,4.75,5.0,4.0,6.7,10.7,3.5
34,5.0,5.0,5.0,5.0,4.5,5.0,4.92,5.0,4.9,5.0,9.9,3.0
35,5.0,5.0,5.0,4.5,5.0,4.0,4.75,5.0,1.55,2.7,4.25,2.0
36,5.0,5.0,5.0,5.0,5.0,3.0,4.67,4.5,4.0,2.5,6.5,2.0
37,5.0,5.0,4.5,4.0,4.5,3.0,4.33,4.5,0.9,0.9,1.8,2.0
38,3.5,4.0,4.0,4.0,3.5,3.0,3.67,3.5,2.0,3.3,5.3,2.0
39,5.0,5.0,5.0,4.5,5.0,4.5,4.83,5.0,5.2,4.7,9.9,3.0
40,5.0,4.5,5.0,4.0,4.0,3.0,4.25,4.5,4.4,5.4,9.8,3.0
41,5.0,4.5,5.0,4.0,4.0,3.0,4.25,4.5,2.25,1.6,3.85,2.0
42,4.0,5.0,5.0,4.0,4.0,3.0,4.17,4.0,3.3,3.2,6.5,2.0
43,5.0,4.5,4.5,4.0,4.0,3.0,4.17,4.0,3.3,2.8,6.1,2.0
44,5.0,5.0,5.0,4.5,5.0,4.0,4.75,5.0,2.7,1.9,4.6,2.0
45,5.0,5.0,5.0,4.5,5.0,4.0,4.75,5.0,3.6,1.2,4.8,2.0
46,5.0,4.5,3.5,4.0,3.0,3.0,3.83,4.0,2.6,1.7,4.3,2.0
47,5.0,5.0,4.5,4.0,4.0,4.0,4.42,4.5,3.3,5.3,8.6,2.0
48,5.0,4.5,4.0,4.5,3.5,3.0,4.08,4.0,3.7,6.2,9.9,2.0
49,5.0,5.0,4.5,4.0,4.0,4.0,4.42,4.5,3.6,5.6,9.2,2.0
50,5.0,4.5,4.5,5.0,5.0,3.0,4.5,4.5,1.0,0.7,1.7,2.0
51,4.0,5.0,4.5,4.0,3.0,4.0,4.08,4.0,2.65,0.8,3.45,2.0
52,4.5,5.0,4.0,4.0,3.0,3.0,3.92,4.0,1.8,1.5,3.3,2.0
53,5.0,5.0,5.0,5.0,4.5,3.0,4.58,4.5,3.1,9.0,12.1,2.0
54,5.0,5.0,5.0,4.5,3.0,3.0,4.25,4.5,2.2,0.5,2.7,2.0
55,5.0,3.0,4.0,4.0,3.5,3.0,3.75,4.0,2.55,5.0,7.55,2.0
56,4.5,5.0,4.0,4.0,4.0,3.0,4.08,4.0,4.1,1.3,5.4,2.0
57,5.0,4.5,5.0,4.5,5.0,3.0,4.5,4.5,2.9,0.0,2.9,2.0
58,5.0,4.5,4.5,4.5,5.0,3.0,4.42,4.5,5.9,5.9,11.8,3.5
59,4.5,5.0,4.5,4.5,5.0,3.0,4.42,4.5,3.4,3.8,7.2,2.0
60,5.0,4.5,4.0,4.5,3.5,3.0,4.08,4.0,2.7,2.7,5.4,2.0
61,5.0,4.5,4.0,5.0,4.5,3.0,4.33,4.5,2.7,2.9,5.6,2.0
62,5.0,4.5,4.5,4.5,4.0,3.0,4.25,4.5,5.2,4.6,9.8,3.0
63,5.0,5.0,4.0,4.0,4.0,4.0,4.33,4.5,1.6,1.7,3.3,2.0
64,5.0,4.5,4.0,4.5,4.0,4.0,4.33,4.5,2.9,5.7,8.6,2.0
65,5.0,4.5,4.5,4.0,4.0,4.0,4.33,4.5,4.0,1.4,5.4,2.0
66,5.0,5.0,5.0,4.5,3.0,3.0,4.25,4.5,3.3,1.1,4.4,2.0
67,4.5,5.0,5.0,4.5,5.0,3.0,4.5,4.5,2.9,1.8,4.7,2.0
68,5.0,4.0,4.0,4.5,5.0,3.0,4.25,4.5,3.05,2.8,5.85,2.0
69,5.0,4.5,4.0,4.5,3.5,3.0,4.08,4.0,4.1,5.2,9.3,3.0
70,5.0,4.0,5.0,4.5,5.0,3.0,4.42,4.5,2.95,4.3,7.25,2.0
71,5.0,5.0,5.0,5.0,5.0,3.0,4.67,4.5,1.85,3.7,5.55,2.0
72,5.0,5.0,4.0,4.0,4.5,4.0,4.42,4.5,2.8,0.4,3.2,2.0
73,5.0,5.0,5.0,5.0,5.0,3.0,4.67,4.5,2.15,0.7,2.85,2.0
74,5.0,4.5,4.0,4.5,5.0,3.0,4.33,4.5,4.6,5.3,9.9,3.0
75,4.5,5.0,4.5,4.0,4.5,3.0,4.25,4.5,1.1,0.4,1.5,2.0
76,5.0,4.5,5.0,4.0,5.0,3.0,4.42,4.5,3.7,1.5,5.2,2.0
77,5.0,4.5,3.5,4.0,3.0,3.0,3.83,4.0,4.0,4.5,8.5,3.0
78,5.0,5.0,4.0,4.5,5.0,3.0,4.42,4.5,5.8,4.4,10.2,3.5
79,5.0,4.5,4.0,4.5,4.0,4.0,4.33,4.5,2.8,1.8,4.6,2.0
80,5.0,5.0,5.0,4.5,5.0,3.0,4.58,4.5,4.15,3.8,7.95,2.0
81,5.0,5.0,4.0,4.5,3.5,3.0,4.17,4.0,4.5,0.2,4.7,2.0
82,5.0,4.5,5.0,4.5,4.0,3.0,4.33,4.5,1.55,3.9,5.45,2.0
83,5.0,4.5,5.0,4.5,5.0,3.0,4.5,4.5,5.4,5.2,10.6,3.5
84,4.0,3.5,4.0,4.0,3.0,4.0,3.75,4.0,5.0,5.4,10.4,3.5
85,5.0,4.5,4.5,5.0,5.0,3.0,4.5,4.5,3.6,3.3,6.9,2.0
86,5.0,4.5,4.0,4.5,5.0,3.0,4.33,4.5,2.5,0.6,3.1,2.0
87,4.5,4.5,4.0,4.0,4.0,3.0,4.0,4.0,4.1,6.5,10.6,3.5
88,5.0,5.0,4.5,4.5,5.0,3.0,4.5,4.5,4.95,1.1,6.05,2.0
89,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,5.5,10.0,3.5
90,4.5,4.0,4.5,4.0,4.0,3.0,4.0,4.0,3.4,5.8,9.2,2.0
91,4.0,4.5,5.0,4.5,4.0,3.0,4.17,4.0,2.4,4.8,7.2,2.0
92,5.0,5.0,4.0,4.5,5.0,3.0,4.42,4.5,4.8,5.6,10.4,3.5
93,5.0,5.0,5.0,4.0,5.0,3.0,4.5,4.5,1.6,3.0,4.6,2.0
94,5.0,5.0,5.0,4.5,4.0,3.0,4.42,4.5,2.65,2.2,4.85,2.0
95,5.0,5.0,5.0,4.5,5.0,4.0,4.75,5.0,4.0,2.7,6.7,2.0
96,5.0,5.0,5.0,4.5,4.0,3.0,4.42,4.5,4.0,3.1,7.1,2.0
97,5.0,4.0,4.0,4.5,4.5,3.0,4.17,4.0,2.0,3.3,5.3,2.0
98,5.0,4.5,4.0,5.0,4.5,3.0,4.33,4.5,3.0,4.9,7.9,2.0
99,4.0,5.0,4.5,4.0,4.0,3.0,4.08,4.0,4.2,3.1,7.3,2.0
100,3.5,4.5,3.0,4.0,4.0,3.0,3.67,3.5,0.65,1.2,1.85,2.0
101,5.0,5.0,4.0,4.0,4.5,3.0,4.25,4.5,1.9,1.4,3.3,2.0
102,4.5,5.0,4.5,4.5,5.0,3.0,4.42,4.5,3.7,2.8,6.5,2.0
103,4.0,4.5,5.0,4.5,4.0,3.0,4.17,4.0,2.25,3.5,5.75,2.0
104,5.0,4.5,4.5,5.0,4.5,5.0,4.75,5.0,4.0,5.4,9.4,3.0
105,5.0,4.5,4.0,4.5,3.5,3.0,4.08,4.0,4.3,5.8,10.1,3.5
106,5.0,5.0,4.0,4.0,4.5,4.0,4.42,4.5,2.9,1.0,3.9,2.0
107,5.0,4.5,4.0,4.0,3.0,3.0,3.92,4.0,4.0,0.4,4.4,2.0
108,5.0,5.0,5.0,4.5,5.0,4.0,4.75,5.0,2.9,5.8,8.7,2.0
109,4.5,5.0,4.0,4.0,4.0,3.0,4.08,4.0,0.9,3.5,4.4,2.0
110,5.0,4.5,4.5,5.0,5.0,3.0,4.5,4.5,4.8,2.9,7.7,2.0
111,5.0,5.0,4.5,4.0,4.0,4.0,4.42,4.5,0.9,2.0,2.9,2.0
112,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.3,2.5,5.8,2.0
113,5.0,4.5,4.0,4.5,5.0,3.0,4.33,4.5,4.0,3.1,7.1,2.0
114,5.0,4.0,4.0,4.0,4.5,3.0,4.08,4.0,2.6,0.2,2.8,2.0
115,4.5,4.5,4.0,4.0,3.0,3.0,3.83,4.0,4.0,5.6,9.6,3.0
116,5.0,5.0,5.0,4.5,5.0,3.0,4.58,4.5,2.45,4.4,6.85,2.0
117,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.1,1.7,4.8,2.0
118,5.0,3.0,4.0,4.0,3.5,3.0,3.75,4.0,1.15,2.4,3.55,2.0
119,5.0,4.5,4.0,4.5,5.0,3.0,4.33,4.5,4.0,3.4,7.4,2.0
120,5.0,5.0,5.0,4.5,4.0,3.0,4.42,4.5,2.1,5.0,7.1,2.0
121,5.0,4.5,5.0,4.5,4.0,3.0,4.33,4.5,1.4,3.2,4.6,2.0
122,5.0,5.0,4.0,4.0,4.5,3.0,4.25,4.5,3.1,0.2,3.3,2.0
123,5.0,4.5,4.0,4.5,5.0,4.0,4.5,4.5,2.9,3.3,6.2,2.0
124,5.0,5.0,5.0,4.5,4.0,3.0,4.42,4.5,2.9,2.8,5.7,2.0
125,5.0,5.0,4.0,4.0,4.5,3.0,4.25,4.5,5.1,2.4,7.5,2.0
126,5.0,4.5,5.0,4.5,5.0,5.0,4.83,5.0,3.3,3.7,7.0,2.0
